Rank,Teaching_and_learning,research_professional_and_collaboration,Graduation_Outcome,Outreach_and_inclusivity,Perception
1,93.83,91.44,84.91,63.88,100
2,89.61,96.04,76.53,44.71,93.48
3,80.83,89.35,81.47,59.72,88.6
4,73.73,84.26,85.65,53.99,78.51
5,78.51,77.15,78.99,41.46,85.89
6,72.8,72.08,88.9,56.66,56.63
7,86.29,61.54,76.51,50.46,45.49
8,64.6,72.08,68.55,52.3,71.04
9,80.63,44.22,71.03,55.11,36.94
10,70.22,58.51,73.21,53.43,20.35
11,66.49,46.44,72.02,60.96,59.69
12,58.26,68.5,77.63,29.09,33.49
13,64.7,53.04,74.73,59.99,29.73
14,81.42,40.8,69.67,56.16,17.28
15,61.82,52.36,78.74,45.76,24.71
16,54.64,55.4,65.51,59.22,49.93
17,68.55,38.31,69.71,60.21,49.6
18,81.45,39.77,64.08,59.02,17.99
19,64.43,42.55,77.62,41.66,48.44
20,69.77,45.75,73.11,56.55,12.01
21,60.34,38.36,71.27,51.1,41.93
22,78.87,20.76,62.12,60.82,43.47
23,74.43,35.03,65.64,49.3,14.73
24,67.25,31.43,72.38,54.79,22.59
25,71.22,36.61,59.88,51.69,16.21
26,74.18,26.31,59.24,52.64,32.03
27,76.9,27.68,63.07,54.64,9.96
28,69.82,23.64,55.96,49.87,60.95
29,59.36,43.69,61.09,35.64,32.03
30,63.78,35.85,64.68,56.13,11.2
31,57.41,39.27,72.13,48.49,8.67
32,61.27,33.34,64.59,58.93,15.48
33,67.99,42.64,47.12,57.87,2.6
34,70.21,38.92,53.95,36.54,10.79
35,69.98,27.18,58.89,52.41,19.35
36,56.33,34.48,66.57,62.08,5.04
37,49.08,31.56,77.96,54.24,16.57
38,68.57,18.47,56.93,63.21,28.4
39,62.34,26.64,59.11,46.6,34.91
40,54.83,29.75,70.78,48.7,21.65
41,72.7,27.91,55.73,43.77,6.89
42,59.2,37.89,60.94,42.36,7.35
43,79.15,2.63,73.55,59.67,6.89
44,60.44,23.96,66.29,46.51,26.74
45,58.66,31.97,54.06,61.87,13.2
46,52.84,36.28,64.9,43.94,12.41
47,52.93,29.68,64.99,46.75,18.67
48,70.42,17.39,60.09,58.32,1.06
49,55.17,26.58,60.6,41.85,34.67
