TLR,RPC,GO,OI,PERCEPTION,RANK
88.26,94.02,81.81,86.11,98,1
85.93,94.14,84.97,74.84,99,2
76.23,92.68,83.95,78.05,97,3
80.27,91.62,74.72,66.17,98,4
66.08,93.52,85.62,70.59,98,5
67.83,83.5,81.61,76.59,96,6
76.76,76.83,80.89,63.76,95,7
80.36,72.09,64.91,71.94,96,8
89.96,73.56,86.42,60.67,38,9
79.8,68.29,74.13,68.78,93,10
71.92,78.66,71.82,65.62,94,11
56.99,80.37,81.5,79.5,92,12
66.95,74.72,77.38,77.11,91,13
59.08,80.63,96.8,56.73,96,14
59.02,85.24,78.43,68.81,83,15
86.75,75.78,89.85,39.23,46,16
55.39,81.06,82.47,65.5,90,17
59.98,73.64,69.05,82.7,85,18
60.78,75.69,81.49,73.21,74,19
57.76,83.07,76.07,59.5,87,20
85.83,70.35,81.05,47.29,43,20
58.61,66.4,82.92,74.67,95,21
60.26,67.86,77.29,70.22,88,22
54.63,72.07,74.08,75.04,82,23
56.72,64.67,77.3,72.1,94,24
73.02,66.41,60.71,60.11,86,25
67.4,75.73,61.06,51.57,85,26
49.43,78.7,77.69,64.58,83,27
58.2,71.82,75.41,61.2,82,28
57.93,75.86,80.94,57.91,63,29
49.24,79.62,65.86,66.15,78,30
56.81,63.75,74.02,62.08,75,31
60.21,65.55,81,58.4,51,31
60.63,73.91,83.55,70.31,1,32
40.32,72.19,95.08,66.33,61,33
48.31,62.54,82.91,68.54,74,34
55.4,65.31,77.86,48.75,76,35
56.09,71.53,72.03,64.42,40,35
55.13,71.63,74.32,62.16,41,37
62.21,55.58,70.83,55.49,77,38
62.58,67.06,65.34,61.72,33,41
47.68,76.73,56.87,47.6,72,42
46.65,74.56,81.02,61.7,25,43
59.29,82.22,13.39,50.12,83,44
55.1,68.79,60.61,78.6,19,45
48.41,54.52,67.95,69.27,81,46
47.51,66.33,77.98,72.56,32,47
39.04,58.23,66.94,77.41,86,48
53.15,64.82,78.28,53.95,41,49
58.68,57.67,71.2,77.49,19,50
57.04,53.42,81.38,65.7,36,51
41.6,73.08,77.24,63.3,41,52
57.4,58.47,75.03,66.24,32,53
57.49,58.03,69.44,70.34,32,54
61.16,61.37,63.61,65.39,21,55
46.89,72.99,55.16,51.52,66,56
57.24,67.97,55.5,35.4,67,57
73.56,51.98,75.3,38.57,33,58
46.14,58.6,69.8,76.6,47,59
49.49,61.9,70.43,60.32,49,60
45.21,59.86,79.38,69.05,40,61
55.6,34.04,90.52,75.5,50,62
51.61,58.11,77.22,62.78,27,63
46.48,62.13,75.15,63.84,31,64
55.75,58.12,66.08,71.32,12,65
51.73,53.46,50.05,70.4,59,66
50.37,59.18,72.01,60.42,33,67
37.05,64.47,67.19,46.69,77,68
41.66,50.29,74.67,65.68,63,69
52.98,51.91,72.17,66.37,30,70
44.1,47.74,69.08,64.91,73,71
52.71,41.67,69.01,79.65,42,72
50.02,48.05,75.83,75.45,23,73
46.77,56.85,81.69,55.36,23,74
43.98,41.32,73.89,66.09,75,75
57.7,38.61,66.13,46.27,85,76
47.15,62.91,79,54.79,12,77
36.73,67.7,79.14,48.8,31,78
43.45,56.73,82.68,58.11,21,79
48.23,41.22,86.82,61.99,38,80
50.24,53.01,67.05,75.26,12,81
53.51,61.8,50.46,49.2,34,82
32.29,57.85,79.62,59.06,47,84
37.52,45.97,70.43,60.73,80,85
46.81,47.19,72.78,61.03,34,86
46.73,52.37,66.9,55.69,37,87
49.21,50.65,72.09,67.19,0,88
48.74,47.61,67.42,51.75,41,89
46.62,56.15,67.8,65.62,6,90
28.7,50,92.06,47.01,59,91
41.3,48.26,61.61,67.57,45,92
45.23,39.29,65.99,73.81,46,93
52,49.66,54.04,59.65,34,94
38.75,49.01,64.45,66.6,44,95
38.67,46.65,77.95,64.66,35,96
43.4,49.06,71.34,50.18,43,97
29.71,55.27,78.24,61.62,35,98
44.1,38.54,79.51,69.04,27,99
39.97,56.55,78.3,51.32,17,100
