TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),RANK
91.85,92.6,83.78,77.19,81.46,1
91.15,94.68,83.64,69.7,84.24,2
76.03,89.23,88.02,74.11,73.43,3
79.63,89.47,77.45,71.41,77.24,4
84.28,77.28,74.29,61.35,73.59,5
72.3,74.36,88.31,70.95,43.47,6
89.29,59.98,77.08,80.11,40.95,7
63.62,67.63,67.99,59.71,50.21,8
59.42,71.38,74.96,49.76,33.82,9
82.6,36.21,71.26,73.75,29.72,10
62,46.27,74.38,75.81,45.04,11
64.21,49.22,80.12,68.07,19.23,12
56.49,54.02,64.91,75.56,44.6,13
70.35,47.58,74.25,59.54,17.8,14
83.73,32.72,70.72,75.64,10.64,15
66.15,35.05,70.27,59.86,50.32,16
71.02,40.3,59.43,58.47,32.82,17
79.66,28.87,63.69,76.69,13.5,18
74.78,27.7,72.78,72.78,14.35,19
60.01,38.73,80.24,73.39,6.92,20
78.92,27.63,62.97,76.06,7.68,21
62.53,32.6,73.71,64.28,31.56,22
57.19,40.14,69.42,67.49,27.52,23
70.56,24.47,70.09,69.81,26.33,24
62.38,36.31,67.32,67.13,16.73,25
56.85,41.77,73.33,52.08,18.9,26
74.22,24.88,65.82,61.56,17.17,27
81.23,14.74,60.24,70.29,27.33,28
78.98,17.99,66.78,74.26,7.24,28
79.73,14.41,59.25,75.94,27.54,30
61.22,25.36,71.67,59.03,37.11,31
65.59,29.36,64.22,72.08,13.8,31
66.54,23.64,57.05,62.81,47.48,33
66.94,25.44,68.92,65.85,14.01,34
59.75,31.69,57.93,82.94,18.79,35
80.8,1.25,71.62,77.94,7.54,36
66.01,26.76,57.78,59,17.18,37
66.45,20.44,69.4,61.68,2.54,38
50.95,24.48,72.9,67.16,22.64,39
71.3,33.57,47.24,48.05,4.57,40
56,30.32,66.14,56.74,8.82,41
60.59,21.88,61.04,69.96,15.72,42
70.66,11.94,59.32,63.31,24.06,43
53.28,21.15,60.77,73.98,26.25,44
67.06,13.09,65.46,62.97,9.07,45
60.02,29.5,51.14,61.36,9.43,46
52.55,14.08,71.82,66.05,27.39,47
54.81,33.56,54.93,55.88,4.42,48
69.03,12.13,60.62,54.58,14.86,49
50.43,28.91,61.07,62.28,10.65,50
62.88,14.72,57.41,68.04,17.42,51
68.76,5.48,62.43,68.13,12.85,52
61.17,18.43,59.99,58.3,10.17,53
51.11,19.82,64.97,81.02,2.63,54
48.09,34.95,50.88,57.93,16.69,55
48.55,20.83,70.69,55.41,20.45,56
60.47,13.96,60.8,62.39,17.04,57
60.49,23.07,42.07,73.59,14.68,58
55.11,19.99,62.59,67.66,1.95,59
52.27,28.6,53.5,58.03,8.53,60
51.97,13.74,71.45,65.33,7.2,61
54.14,20.06,49.83,77.68,9.66,62
54.92,17.44,63.55,55.51,4.82,63
64.46,2.11,56.14,70.19,21.36,64
68.8,8.51,50.37,60.47,8.9,65
59.88,2.45,58.41,72.03,25.99,66
52.12,8.9,55.53,69.84,34.72,67
58.15,12.72,54.89,66.69,7.28,68
45.09,20.91,62.1,69.27,3.13,69
50.94,25.26,52.53,53.47,6.62,70
55.93,7.81,60.31,70.52,11.47,70
64.56,5.41,59.89,59.86,4,72
54.66,11.5,60.25,60.08,13.05,73
51.63,25.78,53.25,49.44,3.45,74
40.86,24.99,62.56,51.3,15.51,75
58.28,16.62,52.82,48.97,8.81,76
54.85,1.05,67.36,76.35,8.24,77
56.27,7.1,57.06,65.64,12.9,78
54.77,13.56,54.21,56.89,10.38,79
61.64,2.55,63.13,59.62,2.12,80
58.45,0.83,56.33,71.44,16.85,81
58.07,6.31,58.34,59.69,7.88,82
49.84,13.87,52.03,76.54,2.91,83
60.64,4.51,55.86,61.68,5.67,84
51.52,6.65,60.52,62.62,16.34,85
52.98,8.51,56.54,58.95,16.59,86
62.72,0.68,54.18,70.89,3.19,87
57.25,2.82,48.23,70.42,23.89,88
62.6,9.92,42.97,62.83,3.51,89
58.85,1.35,57.79,65.58,7.45,90
49.94,4.73,64.45,70.27,5.64,91
52.53,5.51,49.95,72.48,21.66,92
49.73,9.47,55.11,62.08,18.11,93
62.7,3.4,52.13,63.39,1.46,94
60.5,5.27,50.66,62.29,5.78,95
54.19,3.84,59.32,68.75,4.86,96
59.47,6.74,49.39,64.92,2.8,97
41.94,15.81,66.86,48.27,9.03,98
53.78,14.29,46.44,60.98,5.85,99
62.02,4.12,48.34,60.6,6.29,100
